testname,SGA,RGA,IGA
c03,6372.007000,11165.070000,16786.277000
c04,8323.907000,14089.533000,19814.438000
c05,10264.728000,18867.186000,26519.619000
c06,2170.241000,5271.257000,8387.849000
c07,2239.143000,5503.271000,9981.670000
c08,5891.805000,11010.655000,20692.656000
c09,6665.382000,14614.819000,24685.164000
c10,10116.525000,20139.286000,33879.736000
c11,2124.033000,6348.437000,12634.940000
c12,2600.296000,6931.648000,15931.881000
c13,5586.380000,12698.669000,25083.225000
c14,8390.508000,14341.699000,38629.159000
c15,12741.618000,20096.518000,40547.327000
c16,4228.826000,17104.110000,44668.916000
c17,6447.851000,18429.483000,42047.105000
c18,8979.094000,25035.077000,45869.579000
c19,10223.690000,25360.905000,55196.748000
c20,11870.073000,29728.052000,55971.072000
d01,2792.663000,6145.903000,11611.388000
d02,3288.271000,7410.238000,15120.101000
d03,10937.910000,21965.530000,41038.439000
d04,14160.585000,26399.534000,57375.296000
d05,25187.489000,38110.895000,68782.492000
d06,3607.777000,7144.769000,14674.007000
d07,3306.721000,7626.567000,14988.256000
d08,11619.693000,22088.866000,44590.526000
d09,15467.867000,28867.834000,53883.476000
d10,24231.183000,39924.605000,207489.275000
d11,4089.640000,11551.566000,219078.054000
d12,4442.934000,12318.791000,268400.042000
d13,14131.781000,24808.884000,296377.999000
d14,17396.875000,29893.747000,167899.106000
d15,25088.909000,47934.801000,149335.480000
d16,8975.174000,49460.484000,533940.736000
d17,8045.869000,35155.291000,501103.552000
d18,29066.885000,56679.207000,594458.910000
d19,32641.111000,55472.709000,586272.296000
d20,36874.711000,61303.799000,603166.896000
antiwheel5,926.658000,1824.638000,7920.026000
design432,856.384000,1627.284000,10844.167000
oddcycle3,811.845000,1534.372000,5679.324000
oddwheel3,849.683000,1563.378000,5685.050000
se03,992.798000,1926.350000,7900.402000
w13c29,17836.065000,35651.987000,164739.877000
w23c23,25796.403000,49649.775000,147338.573000
w3c571,427730.240000,473400.229000,628934.783000
e01,4895.246000,16687.851000,22715.398000
e02,6353.826000,15064.896000,22836.596000
e03,33569.279000,76032.888000,91224.529000
e04,40308.301000,80081.219000,107314.335000
e05,60031.194000,108889.749000,151788.348000
e06,4844.489000,14304.802000,24692.627000
e07,5570.162000,15402.878000,26009.641000
e08,30277.503000,58738.212000,86475.454000
e09,40967.750000,76120.581000,128089.637000
e10,59641.725000,106875.233000,189984.485000
e11,6314.316000,31365.461000,57589.067000
e12,7643.645000,30431.074000,54088.282000
